rank,priority_tier,resource_kind,usefulness_score,title,author,year,category,collection,source_url,download_url,public_domain_status,commercial_use_status,rights_basis,recommended_use,file_path,word_count,reading_hours_estimate,work_group_key,edition_or_volume_count
1,Tier 1 - core beta study library,Commentary,1490,Christology of the Old Testament: And a Commentary on the Messianic Predictions. Vol. 2,Ernst Wilhelm Hengstenberg and Theodore Meyer,2009,Commentaries,Commentary,https://www.gutenberg.org/ebooks/30608,https://www.gutenberg.org/ebooks/30608.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/30608.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/christology-of-the-old-testament-and-a-commentary-on-the-messianic-predictions-vol-2-ernst-wilhelm-hengstenber.txt,200869,22.3,christology of the old testament and a commentary on the messianic predictions|ernst wilhelm hengstenberg and theodore meyer,1
96,Tier 1 - core beta study library,Commentary,1375,The Expositor's Bible: The Prophecies of Jeremiah,C. J. Ball,2013,Commentaries,Commentary,https://www.gutenberg.org/ebooks/42601,https://www.gutenberg.org/ebooks/42601.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/42601.,Public-domain Jeremiah exposition for study support.,data/library/verified/the-expositor-s-bible-the-prophecies-of-jeremiah-c-j-ball.txt,128211,14.2,the expositor s bible the prophecies of jeremiah|c j ball,1
97,Tier 1 - core beta study library,Commentary,1375,"The Expositor's Bible: The Psalms, Vol. 1 / Psalms I.-XXXVIII.","Maclaren, Alexander; Nicoll, W. Robertson (William Robertson), Sir",2013,Commentaries,Commentaries,https://www.gutenberg.org/ebooks/42445,https://www.gutenberg.org/ebooks/42445.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Project Gutenberg catalog/metadata source indicates public-domain availability in the USA. Retain source/license notes for redistributed Project Gutenberg files.,"Public-domain Christian resource for careful reading, study, and teaching preparation.",data/library/verified/the-expositor-s-bible-the-psalms-vol-1-psalms-i-xxxviii.txt,119473,13.3,the expositor s bible the psalms psalms i xxxviii|maclaren alexander nicoll w robertson william robertson sir,1
98,Tier 1 - core beta study library,Commentary,1375,"The Expositor's Bible: The Psalms, Vol. 2 / Psalms XXXIX.-LXXXIX.","Maclaren, Alexander; Nicoll, W. Robertson (William Robertson), Sir",2013,Commentaries,Commentaries,https://www.gutenberg.org/ebooks/42488,https://www.gutenberg.org/ebooks/42488.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Project Gutenberg catalog/metadata source indicates public-domain availability in the USA. Retain source/license notes for redistributed Project Gutenberg files.,"Public-domain Christian resource for careful reading, study, and teaching preparation.",data/library/verified/the-expositor-s-bible-the-psalms-vol-2-psalms-xxxix-lxxxix.txt,149278,16.6,the expositor s bible the psalms psalms xxxix lxxxix|maclaren alexander nicoll w robertson william robertson sir,1
99,Tier 1 - core beta study library,Commentary,1375,"The Expositor's Bible: The Psalms, Vol. 3 / Psalms XC.-CL.","Maclaren, Alexander; Nicoll, W. Robertson (William Robertson), Sir",2013,Commentaries,Commentaries,https://www.gutenberg.org/ebooks/44027,https://www.gutenberg.org/ebooks/44027.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Project Gutenberg catalog/metadata source indicates public-domain availability in the USA. Retain source/license notes for redistributed Project Gutenberg files.,"Public-domain Christian resource for careful reading, study, and teaching preparation.",data/library/verified/the-expositor-s-bible-the-psalms-vol-3-psalms-xc-cl.txt,131448,14.6,the expositor s bible the psalms psalms xc cl|maclaren alexander nicoll w robertson william robertson sir,1
100,Tier 1 - core beta study library,Commentary,1375,The Expositor's Bible: The Second Book of Kings,F. W. Farrar,2013,Commentaries,Commentary,https://www.gutenberg.org/ebooks/42027,https://www.gutenberg.org/ebooks/42027.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/42027.,Public-domain exposition for teacher preparation after reading the KJV text.,data/library/verified/the-expositor-s-bible-the-second-book-of-kings-f-w-farrar.txt,146108,16.2,the expositor s bible the second book of kings|f w farrar,1
101,Tier 2 - high-value study expansion,Commentary,1375,The Expositor's Bible: The Second Book of Samuel,"Blaikie, William Garden and Nicoll, W. Robertson (William Robertson), Sir",2014,Commentaries,Commentary,https://www.gutenberg.org/ebooks/44619,https://www.gutenberg.org/ebooks/44619.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/44619.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/the-expositor-s-bible-the-second-book-of-samuel-blaikie-william-garden-and-nicoll-w-robertson-william-robertso.txt,120078,13.3,the expositor s bible the second book of samuel|blaikie william garden and nicoll w robertson william robertson sir,1
102,Tier 2 - high-value study expansion,Commentary,1375,The Expositor's Bible: The Second Epistle to the Corinthians,"Denney, James and Nicoll, W. Robertson (William Robertson), Sir",2013,Commentaries,Commentary,https://www.gutenberg.org/ebooks/41850,https://www.gutenberg.org/ebooks/41850.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/41850.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/the-expositor-s-bible-the-second-epistle-to-the-corinthians-denney-james-and-nicoll-w-robertson-william-robert.txt,121452,13.5,the expositor s bible the second epistle to the corinthians|denney james and nicoll w robertson william robertson sir,1
103,Tier 2 - high-value study expansion,Commentary,1375,The Expositor's Bible: The Song of Solomon and the Lamentations of Jeremiah,"Adeney, Walter F. (Walter Frederic) and Nicoll, W. Robertson (William Robertson), Sir",2012,Commentaries,Commentary,https://www.gutenberg.org/ebooks/39941,https://www.gutenberg.org/ebooks/39941.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/39941.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/the-expositor-s-bible-the-song-of-solomon-and-the-lamentations-of-jeremiah-adeney-walter-f-walter-frederic-and.txt,100649,11.2,the expositor s bible the song of solomon and the lamentations of jeremiah|adeney walter f walter frederic and nicoll w robertson william robertson sir,1
104,Tier 2 - high-value study expansion,Commentary,1375,"The Gospel of Luke, an Exposition",Charles Rosenbury Erdman,2008,Commentaries,Commentary,https://www.gutenberg.org/ebooks/26881,https://www.gutenberg.org/ebooks/26881.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/26881.,Public-domain Luke exposition for study support.,data/library/verified/the-gospel-of-luke-an-exposition-charles-rosenbury-erdman.txt,88531,9.8,the gospel of luke an exposition|charles rosenbury erdman,1
105,Tier 2 - high-value study expansion,Commentary,1370,Exposition of the Epistle of James,William Kelly,2026,Commentaries,William Kelly,https://archive.org/download/expositionofepis0000will_q9n7/expositionofepis0000will_q9n7_djvu.txt,https://archive.org/download/expositionofepis0000will_q9n7/expositionofepis0000will_q9n7_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/expositionofepis0000will_q9n7/expositionofepis0000will_q9n7_djvu.txt.,Public-domain exposition useful for careful comparison and teaching preparation.,data/library/verified/exposition-of-the-epistle-of-james-william-kelly.txt,46486,5.2,exposition of the epistle of james|william kelly,1
106,Tier 2 - high-value study expansion,Commentary,1370,Lectures on the Epistle of Paul the Apostle to the Philippians : with a new translation..,"Kelly, William, 1821-1906",2026,Commentaries,William Kelly Collection,https://archive.org/download/lecturesonepistlephil00kell/lecturesonepistlephil00kell_djvu.txt,https://archive.org/download/lecturesonepistlephil00kell/lecturesonepistlephil00kell_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/lecturesonepistlephil00kell/lecturesonepistlephil00kell_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/lectures-on-the-epistle-of-paul-the-apostle-to-the-philippians-with-a-new-translation-kelly-william-1821-1906.txt,32945,3.7,lectures on the epistle of paul the apostle to the philippians with a new translation|kelly william 1821 1906,1
107,Tier 2 - high-value study expansion,Commentary,1370,Notes on the book of Job : with a new version,"Kelly, William, 1821-1906",2026,Commentaries,William Kelly Collection,https://archive.org/download/notesonbookjobw00kellgoog/notesonbookjobw00kellgoog_djvu.txt,https://archive.org/download/notesonbookjobw00kellgoog/notesonbookjobw00kellgoog_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/notesonbookjobw00kellgoog/notesonbookjobw00kellgoog_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/notes-on-the-book-of-job-with-a-new-version-kelly-william-1821-1906.txt,58208,6.5,notes on the book of job with a new version|kelly william 1821 1906,1
108,Tier 2 - high-value study expansion,Commentary,1370,Notes on the book of Job : with a new version,William Kelly,2026,Commentaries,William Kelly Collection,https://archive.org/download/notesonbookjobw01kellgoog/notesonbookjobw01kellgoog_djvu.txt,https://archive.org/download/notesonbookjobw01kellgoog/notesonbookjobw01kellgoog_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/notesonbookjobw01kellgoog/notesonbookjobw01kellgoog_djvu.txt.,"William Kelly public-domain exposition for commentary comparison and Bible study, with perspective labels.",data/library/verified/notes-on-the-book-of-job-with-a-new-version-william-kelly.txt,51390,5.7,notes on the book of job with a new version|william kelly,1
109,Tier 2 - high-value study expansion,Commentary,1365,God's Masterpiece: An Analytical Exposition of Ephesians I-III,Arno C. Gaebelein,1913,Commentaries,Gaebelein Collection,https://archive.org/download/godsmasterpiecea0000gaeb/godsmasterpiecea0000gaeb_djvu.txt,https://archive.org/download/godsmasterpiecea0000gaeb/godsmasterpiecea0000gaeb_djvu.txt,verified,verified_allowed_public_domain,"Published in 1913, before the current U.S. public-domain cutoff for 2026. Direct Internet Archive OCR text imported from item godsmasterpiecea0000gaeb; source edition and OCR quality require spot-check before quotation or public teaching use.",Gaebelein exposition for Ephesians study and teaching preparation. OCR text should be spot-checked before quotation or public teaching use.,data/library/verified/god-s-masterpiece-an-analytical-exposition-of-ephesians-i-iii-arno-c-gaebelein.txt,32790,3.6,god s masterpiece an analytical exposition of ephesians i iii|arno c gaebelein,1
110,Tier 2 - high-value study expansion,Commentary,1365,Nine Lectures on the First Epistle of John,J. N. Darby,1882,Commentaries,Darby Collection,https://archive.org/download/ninelecturesonf00darbgoog/ninelecturesonf00darbgoog_djvu.txt,https://archive.org/download/ninelecturesonf00darbgoog/ninelecturesonf00darbgoog_djvu.txt,verified,verified_allowed_public_domain,"Published in 1882, before the current U.S. public-domain cutoff for 2026. Direct Internet Archive OCR text imported from item ninelecturesonf00darbgoog; source edition and OCR quality require spot-check before quotation or public teaching use.",Darby exposition for 1 John study and teaching comparison. OCR text should be spot-checked before quotation or public teaching use.,data/library/verified/nine-lectures-on-the-first-epistle-of-john-j-n-darby.txt,36536,4.1,nine lectures on the first epistle of john|j n darby,1
111,Tier 2 - high-value study expansion,Commentary,1365,The prophet Joel [microform] : an exposition,"Gaebelein, Arno Clemens, 1861-1945",2026,Commentaries,Gaebelein Collection,https://archive.org/download/cihm_83496/cihm_83496_djvu.txt,https://archive.org/download/cihm_83496/cihm_83496_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/cihm_83496/cihm_83496_djvu.txt.,Gaebelein Bible exposition and prophecy study resource. OCR text should be spot-checked before quotation.,data/library/verified/the-prophet-joel-microform-an-exposition-gaebelein-arno-clemens-1861-1945.txt,43640,4.8,the prophet joel microform an exposition|gaebelein arno clemens 1861 1945,1
112,Tier 2 - high-value study expansion,Commentary,1365,The prophet Joel; an exposition,"Gaebelein, Arno Clemens, 1861-1945",1909,Commentaries,Gaebelein Collection,https://archive.org/download/prophetjoelexpos00gaebiala/prophetjoelexpos00gaebiala_djvu.txt,https://archive.org/download/prophetjoelexpos00gaebiala/prophetjoelexpos00gaebiala_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/prophetjoelexpos00gaebiala/prophetjoelexpos00gaebiala_djvu.txt.,Gaebelein Bible exposition and prophecy study resource. OCR text should be spot-checked before quotation.,data/library/verified/the-prophet-joel-an-exposition-gaebelein-arno-clemens-1861-1945.txt,42000,4.7,the prophet joel an exposition|gaebelein arno clemens 1861 1945,1
113,Tier 2 - high-value study expansion,Commentary,1365,The Prophet Joel:An Exposition,A. C. Gaebelein,1909,Commentaries,A. C. Gaebelein Collection,https://archive.org/download/prophetjoelanexp0000acga/prophetjoelanexp0000acga_djvu.txt,https://archive.org/download/prophetjoelanexp0000acga/prophetjoelanexp0000acga_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/prophetjoelanexp0000acga/prophetjoelanexp0000acga_djvu.txt.,"Gaebelein public-domain-era prophecy or Bible exposition resource for study and teaching, with discernment labels.",data/library/verified/the-prophet-joel-an-exposition-a-c-gaebelein.txt,42822,4.8,the prophet joel an exposition|a c gaebelein,1
114,Tier 2 - high-value study expansion,Commentary,1365,The Revelation: An Analysis and Exposition,Arno C. Gaebelein,1915,Commentaries,Gaebelein Collection,https://archive.org/download/revelationanalys00gaebiala/revelationanalys00gaebiala_djvu.txt,https://archive.org/download/revelationanalys00gaebiala/revelationanalys00gaebiala_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/revelationanalys00gaebiala/revelationanalys00gaebiala_djvu.txt.,Gaebelein exposition of Revelation for prophecy study and commentary comparison. OCR text should be spot-checked before quotation or public teaching use.,data/library/verified/the-revelation-an-analysis-and-exposition-arno-c-gaebelein.txt,57774,6.4,the revelation an analysis and exposition|arno c gaebelein,1
115,Tier 2 - high-value study expansion,Bible Study Reference,1360,"History of the transmission of ancient books to modern times / together with the process of historical proof; or, a concise account of the means by which genuineness of ancient literature generally, and the authenticity of historical works especially are ascertained including incidental remarks upon the relative strength of the evidence usually adduced in behalf of the Holy Scriptures","Taylor, Isaac",2022,Bible study helps,Bible study helps,https://www.gutenberg.org/ebooks/67778,https://www.gutenberg.org/ebooks/67778.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Project Gutenberg catalog/metadata source indicates public-domain availability in the USA. Retain source/license notes for redistributed Project Gutenberg files.,"Bible study help for background, word study, doctrine, and teaching preparation.",data/library/verified/history-of-the-transmission-of-ancient-books-to-modern-times-together-with-the-process-of.txt,109761,12.2,history of the transmission of ancient books to modern times together with the process of historical proof or a concise account of the means by which genuineness of ancient literature generally and the authenticity of historical works especially are ascertained including incidental remarks upon the relative strength of the evidence usually adduced in behalf of the holy scriptures|taylor isaac,1
116,Tier 2 - high-value study expansion,Bible Study Reference,1355,"Encyclopaedia Britannica, 11th Edition, Bible to Bisectrix",Various,2010,Dictionaries,Dictionaries,https://www.gutenberg.org/ebooks/34702,https://www.gutenberg.org/ebooks/34702.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/34702.,Public-domain reference material with Bible entries.,data/library/verified/encyclopaedia-britannica-11th-edition-bible-to-bisectrix-various.txt,215689,24.0,encyclopaedia britannica 11th edition bible to bisectrix|various,1
117,Tier 2 - high-value study expansion,Commentary,1355,"The claims of the church of England considered : being the close of a correspondence between the Rev. James Kelly, of Stillogen, Ireland, and J.N. Darby","Kelly, James; Darby, J. N. (John Nelson), 1800-1882",2026,Commentaries,Darby Collection,https://archive.org/download/theclaimsofthech00kelluoft/theclaimsofthech00kelluoft_djvu.txt,https://archive.org/download/theclaimsofthech00kelluoft/theclaimsofthech00kelluoft_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/theclaimsofthech00kelluoft/theclaimsofthech00kelluoft_djvu.txt.,Darby Bible exposition or collected teaching for study and doctrinal review. OCR text should be spot-checked before quotation.,data/library/verified/the-claims-of-the-church-of-england-considered-being-the-close-of-a-correspondence-between-the-rev-james-kelly.txt,31701,3.5,the claims of the church of england considered being the close of a correspondence between the rev james kelly of stillogen ireland and j n darby|kelly james darby j n john nelson 1800 1882,1
118,Tier 2 - high-value study expansion,Bible Study Reference,1355,The gospel for to-day : new evangelistic sermons for a new day,"Torrey, R. A. (Reuben Archer), 1856-1928",1922,Bible study helps,Torrey Collection,https://archive.org/download/gospelfortodayne00torr/gospelfortodayne00torr_djvu.txt,https://archive.org/download/gospelfortodayne00torr/gospelfortodayne00torr_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/gospelfortodayne00torr/gospelfortodayne00torr_djvu.txt.,"R. A. Torrey Bible study, evangelism, and prayer resource for teachers and serious students. OCR text should be spot-checked before quotation.",data/library/verified/the-gospel-for-to-day-new-evangelistic-sermons-for-a-new-day-torrey-r-a-reuben-archer-1856-1928.txt,64980,7.2,the gospel for to day new evangelistic sermons for a new day|torrey r a reuben archer 1856 1928,1
119,Tier 2 - high-value study expansion,Commentary,1350,The Gospel of the Kingdom,C. H. Spurgeon,1893,Commentaries,Spurgeon Collection,https://archive.org/download/cu31924029340720/cu31924029340720_djvu.txt,https://archive.org/download/cu31924029340720/cu31924029340720_djvu.txt,verified,verified_allowed_public_domain,"Published in 1893, before the current U.S. public-domain cutoff for 2026. Direct Internet Archive OCR text from item cu31924029340720 imported with source-edition review and OCR spot-check labels.","Popular exposition of Matthew for Gospel study, teaching, and commentary comparison.",data/library/verified/the-gospel-of-the-kingdom-c-h-spurgeon.txt,183613,20.4,the gospel of the kingdom|c h spurgeon,1
120,Tier 2 - high-value study expansion,Bible Study Reference,1350,The New Topical Text Book,R. A. Torrey,1897,Topical Bible,R. A. Torrey Collection,https://archive.org/download/newtopicaltextbo0000rato_c4y7/newtopicaltextbo0000rato_c4y7_djvu.txt,https://archive.org/download/newtopicaltextbo0000rato_c4y7/newtopicaltextbo0000rato_c4y7_djvu.txt,verified,verified_allowed_public_domain,"Published in 1897, before the current U.S. public-domain cutoff for 2026. Direct Internet Archive OCR text from item newtopicaltextbo0000rato_c4y7 imported with source-edition review and OCR spot-check labels.","Topical Bible study tool for sermon preparation, teaching, and Scripture lookup support.",data/library/verified/the-new-topical-text-book-r-a-torrey.txt,186970,20.8,the new topical text book|r a torrey,1
121,Tier 2 - high-value study expansion,Commentary,1345,"The Bible object book : A book of object lessons which are different, written in plain English and in common words","Woolston, C. H. (Clarence Herbert); Rodeheaver, Homer A. (Homer Alvan)",2023,Commentaries,Commentary,https://www.gutenberg.org/ebooks/71416,https://www.gutenberg.org/ebooks/71416.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/71416.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/the-bible-object-book-a-book-of-object-lessons-which-are-different-written-in-plain-english-and-in-common-word.txt,68769,7.6,the bible object book a book of object lessons which are different written in plain english and in common words|woolston c h clarence herbert rodeheaver homer a homer alvan,1
122,Tier 2 - high-value study expansion,Commentary,1345,"The seven parables, Matthew XIII : an exposition ..","Gaebelein, Arno Clemens, 1861-1945",2026,Commentaries,Gaebelein Collection,https://archive.org/download/sevenparablesmat00gaeb/sevenparablesmat00gaeb_djvu.txt,https://archive.org/download/sevenparablesmat00gaeb/sevenparablesmat00gaeb_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/sevenparablesmat00gaeb/sevenparablesmat00gaeb_djvu.txt.,Gaebelein Bible exposition and prophecy study resource. OCR text should be spot-checked before quotation.,data/library/verified/the-seven-parables-matthew-xiii-an-exposition-gaebelein-arno-clemens-1861-1945.txt,14373,1.6,the seven parables matthew xiii an exposition|gaebelein arno clemens 1861 1945,1
123,Tier 2 - high-value study expansion,Christian Book,1345,"The treasury of David : containing an original exposition of the book of Psalms ; a collection of illustrative extracts from the whole range of literature ; a series of homiletical hints upon almost every verse, and lists of writers upon each psalm","Spurgeon, C. H. (Charles Haddon), 1834-1892",1874,Preaching & Teaching,Spurgeon Collection,https://archive.org/download/treasuryofdavidc0007spur/treasuryofdavidc0007spur_djvu.txt,https://archive.org/download/treasuryofdavidc0007spur/treasuryofdavidc0007spur_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/treasuryofdavidc0007spur/treasuryofdavidc0007spur_djvu.txt.,"Spurgeon preaching, devotional, and teaching resource for sermon preparation and Christian living. OCR text should be spot-checked before quotation.",data/library/verified/the-treasury-of-david-containing-an-original-exposition-of-the-book-of-psalms-a-collection-of-illustrative-ext-2.txt,357894,39.8,the treasury of david containing an original exposition of the book of psalms a collection of illustrative extracts from the whole range of literature a series of homiletical hints upon almost every verse and lists of writers upon each psalm|spurgeon c h charles haddon 1834 1892,1
124,Tier 2 - high-value study expansion,Bible Study Reference,1340,Easton's Bible Dictionary,M. G. Easton,1897,Dictionaries,Dictionaries,https://www.ccel.org/ccel/easton/ebd2.html,https://www.ccel.org/ccel/e/easton/ebd2/cache/ebd2.txt,verified,verified_allowed_public_domain_crosswire,CrossWire lists Easton's Bible Dictionary with Distribution License Public Domain and text source CCEL; CCEL work page identifies the 1897 Easton work.,"Bible names, places, customs, and concise background lookup.",data/library/verified/eastons-bible-dictionary.txt,513951,57.1,easton s bible dictionary|m g easton,1
125,Tier 2 - high-value study expansion,Commentary,1340,"Preaching to the spirits in prison, I Peter, 3:18-20","Kelly, William, 1821-1906",1534,Commentaries,William Kelly Collection,https://archive.org/download/preachingtospiri00kellrich/preachingtospiri00kellrich_djvu.txt,https://archive.org/download/preachingtospiri00kellrich/preachingtospiri00kellrich_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/preachingtospiri00kellrich/preachingtospiri00kellrich_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/preaching-to-the-spirits-in-prison-i-peter-3-18-20-kelly-william-1821-1906.txt,40778,4.5,preaching to the spirits in prison i peter|kelly william 1821 1906,1
126,Tier 2 - high-value study expansion,Commentary,1340,"Preaching to the spirits in prison, I Peter, 3:18-20",William Kelly,1534,Commentaries,William Kelly Collection,https://archive.org/download/cu31924031695434/cu31924031695434_djvu.txt,https://archive.org/download/cu31924031695434/cu31924031695434_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/cu31924031695434/cu31924031695434_djvu.txt.,"William Kelly public-domain exposition for commentary comparison and Bible study, with perspective labels.",data/library/verified/preaching-to-the-spirits-in-prison-i-peter-3-18-20-william-kelly.txt,40683,4.5,preaching to the spirits in prison i peter|william kelly,1
127,Tier 2 - high-value study expansion,Commentary,1340,"Preaching to the spirits in prison, I Peter, 3:18-20 [microform]","Kelly, William, 1821-1906",1534,Commentaries,William Kelly Collection,https://archive.org/download/MN41537ucmf_3/MN41537ucmf_3_djvu.txt,https://archive.org/download/MN41537ucmf_3/MN41537ucmf_3_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/MN41537ucmf_3/MN41537ucmf_3_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/preaching-to-the-spirits-in-prison-i-peter-3-18-20-microform-kelly-william-1821-1906.txt,40715,4.5,preaching to the spirits in prison i peter microform|kelly william 1821 1906,1
128,Tier 2 - high-value study expansion,Bible Study Reference,1335,"A Plain Introduction to the Criticism of the New Testament, Vol. I.",Frederick Henry Ambrose Scrivener,2011,Bible study helps,KJV / Textual Issues,https://www.gutenberg.org/ebooks/36548,https://www.gutenberg.org/ebooks/36548.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/36548.,Historical Bible study or textual-issues resource; use for background with doctrinal care.,data/library/verified/a-plain-introduction-to-the-criticism-of-the-new-testament-vol-i-frederick-henry-ambrose-scrivener.txt,190524,21.2,a plain introduction to the criticism of the new testament|frederick henry ambrose scrivener,1
129,Tier 2 - high-value study expansion,Commentary,1330,Expositions of Holy Scripture,Alexander Maclaren,1911,Commentaries,Alexander Maclaren Collection,https://archive.org/download/expositionsofhol00macl/expositionsofhol00macl_djvu.txt,https://archive.org/download/expositionsofhol00macl/expositionsofhol00macl_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/expositionsofhol00macl/expositionsofhol00macl_djvu.txt.,Alexander Maclaren public-domain exposition for devotional commentary comparison and sermon preparation.,data/library/verified/expositions-of-holy-scripture-alexander-maclaren.txt,65144,7.2,expositions of holy scripture|alexander maclaren,1
130,Tier 2 - high-value study expansion,Commentary,1330,Philippian Studies: Lessons in Faith and Love from St. Paul's Epistle to the Philippians,"Moule, H. C. G. (Handley Carr Glyn)",2008,Commentaries,Commentary,https://www.gutenberg.org/ebooks/25221,https://www.gutenberg.org/ebooks/25221.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/25221.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/philippian-studies-lessons-in-faith-and-love-from-st-paul-s-epistle-to-the-philippians-moule-h-c-g-handley-car.txt,50110,5.6,philippian studies lessons in faith and love from st paul s epistle to the philippians|moule h c g handley carr glyn,1
131,Tier 2 - high-value study expansion,Commentary,1330,"The Life of Duty, v. 2: A year's plain sermons on the Gospels or Epistles","Wilmot-Buxton, H. J. (Harry John)",2007,Commentaries,Commentary,https://www.gutenberg.org/ebooks/22075,https://www.gutenberg.org/ebooks/22075.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/22075.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/the-life-of-duty-v-2-a-year-s-plain-sermons-on-the-gospels-or-epistles-wilmot-buxton-h-j-harry-john.txt,54863,6.1,the life of duty a year s plain sermons on the gospels or epistles|wilmot buxton h j harry john,1
132,Tier 2 - high-value study expansion,Bible Study Reference,1325,Six Lectures on Fundamental Truths Connected with the Church of God,William Kelly,1865,Bible study helps,William Kelly Collection,https://archive.org/download/sixlecturesonfu00kellgoog/sixlecturesonfu00kellgoog_djvu.txt,https://archive.org/download/sixlecturesonfu00kellgoog/sixlecturesonfu00kellgoog_djvu.txt,verified,verified_allowed_public_domain,Internet Archive item sixlecturesonfu00kellgoog lists public-domain or NOT_IN_COPYRIGHT status. Direct IA OCR text imported for beta reading with use-with-discernment and OCR spot-check labels.,Doctrinal Bible study resource for careful comparison and teaching preparation.,data/library/verified/six-lectures-on-fundamental-truths-connected-with-the-church-of-god-william-kelly.txt,79462,8.8,six lectures on fundamental truths connected with the church of god|william kelly,1
133,Tier 2 - high-value study expansion,Commentary,1320,A Brief Commentary on the Apocalypse,Sylvester Bliss,2008,Commentaries,Commentary,https://www.gutenberg.org/ebooks/26639,https://www.gutenberg.org/ebooks/26639.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/26639.,Public-domain Revelation commentary for comparison and review.,data/library/verified/a-brief-commentary-on-the-apocalypse-sylvester-bliss.txt,93489,10.4,a brief commentary on the apocalypse|sylvester bliss,1
